# from https://www.aanda.org/articles/aa/full_html/2011/07/aa16208-10/aa16208-10.html
# Note: deleted the WASP survey photometry, only kept follow-up
2455301.73901 0.998952  0.002898 EulerCAM     
2455301.73990 1.001150  0.002898 EulerCAM     
2455301.74079 0.998950  0.002898 EulerCAM     
2455301.74167 1.002048  0.002898 EulerCAM     
2455301.74257 1.003446  0.002897 EulerCAM     
2455301.74345 0.999249  0.002898 EulerCAM     
2455301.74434 0.995750  0.002898 EulerCAM     
2455301.74523 0.996949  0.002898 EulerCAM     
2455301.74611 0.998847  0.002898 EulerCAM     
2455301.74700 1.000745  0.002898 EulerCAM     
2455301.74789 0.991651  0.002898 EulerCAM     
2455301.74878 1.001443  0.002898 EulerCAM     
2455301.74966 1.000344  0.002898 EulerCAM     
2455301.75054 1.000043  0.002898 EulerCAM     
2455301.75144 0.994047  0.002898 EulerCAM     
2455301.75232 0.998143  0.002898 EulerCAM     
2455301.75322 0.995644  0.002898 EulerCAM     
2455301.75410 1.001940  0.002898 EulerCAM     
2455301.75499 1.001040  0.002898 EulerCAM     
2455301.75587 0.998940  0.002898 EulerCAM     
2455301.75676 1.001438  0.002898 EulerCAM     
2455301.75764 0.994443  0.002898 EulerCAM     
2455301.75853 0.997239  0.002898 EulerCAM     
2455301.75942 0.998239  0.002898 EulerCAM     
2455301.76030 0.997638  0.002898 EulerCAM     
2455301.76119 0.999636  0.002897 EulerCAM     
2455301.76207 1.002833  0.002897 EulerCAM     
2455301.76296 1.000734  0.002898 EulerCAM     
2455301.76385 0.993339  0.002897 EulerCAM     
2455301.76474 1.001732  0.002898 EulerCAM     
2455301.76563 0.998834  0.002898 EulerCAM     
2455301.76651 1.003329  0.002998 EulerCAM     
2455301.76740 1.002330  0.002998 EulerCAM     
2455301.76829 1.006825  0.002998 EulerCAM     
2455301.76917 0.995833  0.002997 EulerCAM     
2455301.77005 1.000330  0.002998 EulerCAM     
2455301.77093 1.001128  0.002998 EulerCAM     
