# From https://iopscience.iop.org/article/10.3847/1538-3881/aae1f5
#Title: Radial velocities from the N2K Project: 6 new cold gas giant planets 
#       orbiting HD-55696, HD-98736, HD-148164, HD-203473, and HD-211810 
#Authors: Ment K., Fischer D.A., Bakos G., Howard A.W., Isaacson H. 
#Table: Radial velocities for N2K stars
#================================================================================
#Byte-by-byte Description of file: ajaae1f5t2_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label  Explanations
#--------------------------------------------------------------------------------
#   1- 10 A10    --      Name   Name of the star
#  12- 21 F10.4  d       JD     Julian Date, JD-2440000
#  23- 40 F18.11 m/s     RVel   Radial Velocity
#  42- 52 F11.7  m/s   e_RVel   Radial Velocity Error
#  54- 59 F6.4   --      SHK    []? Ca II H&K line emission indicator
#--------------------------------------------------------------------------------
HD-103828  13780.0040     -6.97551970000   1.1046400 0.1900 
HD-103828  13781.1040      4.82950570000   1.1289900 0.1880 
HD-103828  15663.9670      3.50367670000   1.1695200 0.1880 
HD-103828  16114.7850     -4.16942320000   1.1663300 0.1840 
HD-103847  13015.0420     15.20972200000   1.7607800        
HD-103847  13016.0630     13.99209400000   1.8235300        
HD-103847  13017.0370     32.53860300000   1.7377600        
HD-103847  13069.0800     -1.68596100000   6.2438700        
HD-103847  13724.0840     -4.75709540000   1.1992100 0.3630 
HD-103847  13725.0970     -8.01716810000   1.0995000 0.3630 
HD-103847  14318.7570     11.26219300000   1.0067900 0.3940 
HD-103847  14428.1560      0.28341997000   1.2465000 0.3740 
HD-103847  14839.0930     -3.27451370000   1.2138400 0.3600 
HD-103847  15663.9380      6.77021210000   1.3195400 0.3850 
HD-103847  15670.8360    -18.76987900000   1.1131000 0.3790 
HD-103890  13015.1240      8.66654730000   2.1959000        
HD-103890  13016.1420      4.86004400000   2.3860200        
HD-103890  13017.1300      5.78587100000   2.1081000        
HD-103890  13069.0890     -7.78368610000   2.5702300        
HD-103890  13398.1010     -5.71130780000   0.6401430 0.1520 
HD-103890  13399.1200      2.28183560000   0.6529250 0.1520 
HD-103890  14248.8400     -1.02935680000   0.8930070 0.1520 
HD-104263  13926.7890     -3.25218000000   0.8946090 0.1630 
HD-104263  13927.7800      2.46982300000   0.7832640 0.1660 
HD-104263  13931.8140     -1.74337090000   0.7640870 0.1770 
HD-104263  13932.7670      2.56235590000   0.9542280 0.1630 
HD-104389  13778.0480     -9.16132440000   1.5609700 0.1940 
HD-104389  13780.0330     15.01477900000   1.9888800 0.1910 
HD-104389  13781.1230     -5.45387290000   1.5108100 0.1900 
HD-104389  13807.0080     -6.43255960000   1.6668500 0.1950 
HD-104389  13926.8530      3.07269710000   1.6117900 0.2030 
HD-104389  13927.7980      3.13960880000   1.6064000 0.2050 
HD-104389  14131.0870      0.09677385700   1.8269500 0.2040 
HD-104389  14247.8830     -2.29305730000   1.5043000 0.2020 
HD-104389  14249.8310      5.21871400000   1.5514100 0.2020 
HD-104389  14250.9500     -1.88739970000   1.4667800 0.2040 
HD-104389  14251.9260     -2.96635400000   1.5326100 0.2010 
HD-104389  13778.0480     -9.16132440000   1.5609700 0.1940 
HD-104389  13780.0330     15.01477900000   1.9888800 0.1910 
HD-104389  13781.1230     -5.45387290000   1.5108100 0.1900 
HD-104389  13807.0080     -6.43255960000   1.6668500 0.1950 
HD-104389  13926.8530      3.07269710000   1.6117900 0.2030 
HD-104389  13927.7980      3.13960880000   1.6064000 0.2050 
HD-104389  14131.0870      0.09677385700   1.8269500 0.2040 
HD-104389  14247.8830     -2.29305730000   1.5043000 0.2020 
HD-104389  14249.8310      5.21871400000   1.5514100 0.2020 
HD-104389  14250.9500     -1.88739970000   1.4667800 0.2040 
HD-104389  14251.9260     -2.96635400000   1.5326100 0.2010 
HD-104389  13778.0480     -9.16132440000   1.5609700 0.1940 
HD-104389  13780.0330     15.01477900000   1.9888800 0.1910 
HD-104389  13781.1230     -5.45387290000   1.5108100 0.1900 
HD-104389  13807.0080     -6.43255960000   1.6668500 0.1950 
HD-104389  13926.8530      3.07269710000   1.6117900 0.2030 
HD-104389  13927.7980      3.13960880000   1.6064000 0.2050 
HD-104389  14131.0870      0.09677385700   1.8269500 0.2040 
HD-104389  14247.8830     -2.29305730000   1.5043000 0.2020 
HD-104389  14249.8310      5.21871400000   1.5514100 0.2020 
HD-104389  14250.9500     -1.88739970000   1.4667800 0.2040 
HD-104389  14251.9260     -2.96635400000   1.5326100 0.2010 
HD-10442   13200.0650      4.11043850000   1.8254500        
HD-10442   13207.0960      6.25234530000   1.7523800        
HD-10442   13208.0760     12.88604300000   2.0211000        
HD-10442   14024.0040    -20.14579000000   1.2351800 0.1410 
HD-10442   14319.0890     26.39549100000   0.7643280 0.1390 
HD-10442   14339.9950     21.53864400000   0.9983670 0.1400 
HD-10442   14343.9690     19.08946800000   0.9880240 0.1390 
HD-10442   14399.9070     12.33928700000   1.2749800 0.1420 
HD-10442   14427.9190     15.29889900000   1.0131400 0.1400 
HD-10442   14428.8100     22.90872800000   0.9378510 0.1400 
HD-10442   15019.1200    -36.44518500000   0.9924360 0.1390 
HD-10442   15049.1030    -30.28908200000   0.9380250 0.1390 
HD-10442   15133.9660     -8.85378880000   0.9879270 0.1400 
HD-10442   15171.8820      2.45099920000   1.1431400 0.1390 
HD-10442   15187.8840     -6.38350120000   1.0899800 0.1400 
HD-10442   15198.8400    -16.08324300000   1.0635900 0.1400 
HD-10442   15231.7420      7.53548900000   1.1041600 0.1400 
HD-10442   15251.7110     14.61719700000   1.0289400 0.1380 
HD-10442   15379.1170     29.41068000000   0.8792670 0.1380 
HD-10442   15435.1170     27.11162300000   0.9894920 0.1390 
HD-10442   15489.9580     17.82980100000   1.0795000 0.1400 
HD-10442   15500.8790     25.83048700000   1.0198000 0.1290 
HD-10442   15522.9020     23.07101500000   1.1082800 0.1380 
HD-10442   15542.9550     13.67702300000   0.9840120 0.1400 
HD-10442   15584.7900     19.76452600000   1.0106100 0.1390 
HD-10442   15612.7100     10.05224900000   1.0485400 0.1380 
HD-10442   15782.1120    -17.06345400000   0.9130400 0.1390 
HD-10442   15841.9780    -31.00077900000   0.9779160 0.1390 
HD-10442   15843.9850    -30.68747200000   0.9366260 0.1390 
HD-10442   15870.9960    -31.37045500000   1.1211700 0.1400 
HD-10442   16116.1290    -31.26801500000   1.2103000 0.1400 
HD-10442   16116.1300    -28.80841000000   1.1093000 0.1400 
