# From https://iopscience.iop.org/article/10.1088/0004-6256/144/5/139
#
#Title: HAT-P-39b - HAT-P-41b: Three Highly Inflated Transiting Hot Jupiters
#Authors: Hartman J.D., Bakos G.A., Beky B., Torres G., Latham D.W., Csubry Z., 
#         Penev K., Shporer A., Fulton B.J., Buchhave L.A., Johnson J.A., 
#         Howard A.W., Marcy G.W., Fischer D.A., Kovacs G., Noyes R.W., 
#         Esquerdo G.A., Everett M., Szklenar T., Quinn S.N., Bieryla A., 
#         Knox R.P., Hinz P., Sasselov D.D., Furesz G., Stefanik R.P., Lazar J.,
#         Papp I., Sari P. 
#Table: High-precision differential photometry of HAT-P-41
#================================================================================
#Byte-by-byte Description of file: aj445162t8_mrt.txt
#--------------------------------------------------------------------------------
#   Bytes Format Units   Label   Explanations
#--------------------------------------------------------------------------------
#   1- 11 F11.5  d       BJD     Barycentric Julian Date; 2400000+ (1)
#  13- 20 F8.5   mag     mag     Processed magnitude in Filter (2)
#  22- 28 F7.5   mag   e_mag     The 1{sigma} error in mag
#  30- 37 F8.5   mag     Omag    Original magnitude in Filter (3)
#      39 A1     ---     Filter  Filter used in the observation
#--------------------------------------------------------------------------------
#Note (1): Calculated directly from UTC, with- out correction for leap seconds.
#Note (2): The out-of-transit level has been subtracted. These magnitudes have 
#          been subjected to the EPD and TFA procedures, carried out 
#          simultaneously with the transit fit.
#Note (3): Raw magnitude values without application of the EPD and TFA 
#          procedures.
#--------------------------------------------------------------------------------
#FLWO
55344.94974  0.00117 0.00071 10.00110 i 
55344.95041 -0.00136 0.00071  9.99858 i 
55371.72316  0.00535 0.00107  9.59974 i 
55371.72348  0.00478 0.00108  9.60478 i 
55371.72399 -0.00038 0.00106  9.59562 i 
55371.72434  0.00429 0.00107  9.59842 i 
55371.72482  0.00749 0.00108  9.60362 i 
55371.72517 -0.00231 0.00110  9.60242 i 
55371.72567 -0.00025 0.00109  9.59388 i 
55371.72601  0.00836 0.00108  9.60025 i 
55371.72652 -0.00236 0.00108  9.59748 i 
55371.72686  0.00423 0.00108  9.60382 i 
55371.72774  0.00606 0.00107  9.59743 i 
55371.72827  0.00104 0.00107  9.59424 i 
55371.72861  0.01017 0.00109  9.61442 i 
55371.72997  0.01487 0.00108  9.60845 i 
55371.73085  0.01061 0.00109  9.60975 i 
55371.73207  0.00038 0.00107  9.59301 i 
55371.73258  0.00104 0.00108  9.59749 i 
55371.73342 -0.00022 0.00106  9.59238 i 
55371.73377  0.00531 0.00106  9.60147 i 
55371.73429  0.00073 0.00107  9.59649 i 
55371.73463  0.01153 0.00107  9.60187 i 
55371.73549  0.00906 0.00107  9.60864 i 
55371.73603  0.01074 0.00106  9.60693 i 
55371.73637  0.01452 0.00107  9.61162 i 
55371.73687  0.01093 0.00107  9.60840 i 
55371.73720  0.01654 0.00106  9.61089 i 
55371.73773  0.00072 0.00106  9.59792 i 
55371.73807  0.00287 0.00106  9.59928 i 
55371.73860  0.01140 0.00106  9.60564 i 
55371.73894  0.01304 0.00107  9.61083 i 
55371.73945  0.01016 0.00107  9.60592 i 
55371.73979  0.01269 0.00106  9.60796 i 
55371.74033  0.00508 0.00105  9.60124 i 
55371.74067  0.01182 0.00106  9.60599 i 
55371.74119  0.01724 0.00106  9.61225 i 
55371.74152  0.01531 0.00107  9.61092 i 
55371.74203  0.00893 0.00106  9.59941 i 
55371.74238  0.00365 0.00105  9.59841 i 
55371.74288  0.00716 0.00106  9.60427 i 
55371.74321  0.01102 0.00106  9.60873 i 
55371.74375  0.01061 0.00107  9.60722 i 
55371.74409  0.00139 0.00106  9.59869 i 
55371.74465  0.00530 0.00106  9.60013 i 
55371.74499  0.01464 0.00107  9.61325 i 
55371.74547  0.01554 0.00107  9.60987 i 
55371.74582  0.01664 0.00106  9.61024 i 
55371.74634  0.00980 0.00106  9.60466 i 
55371.74668  0.00269 0.00105  9.59609 i 
55371.74720  0.00987 0.00105  9.60384 i 
55371.74754  0.01357 0.00106  9.60943 i 
55371.74804  0.01371 0.00105  9.60951 i 
55371.74838  0.01559 0.00106  9.61060 i 
55371.74892  0.02068 0.00106  9.61387 i 
55371.74924  0.01060 0.00105  9.60530 i 
55371.74977  0.00652 0.00105  9.60242 i 
55371.75011  0.00963 0.00105  9.60554 i 
55371.75062  0.01168 0.00105  9.60713 i 
55371.75097  0.01744 0.00106  9.61279 i 
